Reason,IP
googleads.g.doubleclick.net,142.251.10.157
mail-ads.google.com,142.251.10.17
mail-ads.google.com,142.251.10.18
mail-ads.google.com,142.251.10.19
mail-ads.google.com,142.251.10.83
addons-pa.clients6.google.com,142.251.10.95
www.google.com,142.251.10.99
i.ytimg.com,142.251.12.119
lh3.googleusercontent.com,142.251.12.132
stats.g.doubleclick.net,142.251.12.154
stats.g.doubleclick.net,142.251.12.155
stats.g.doubleclick.net,142.251.12.156
stats.g.doubleclick.net,142.251.12.157
mail.google.com,142.251.12.17
mail.google.com,142.251.12.18
mail.google.com,142.251.12.19
mail.google.com,142.251.12.83
ssl.gstatic.com,142.251.12.94
content.googleapis.com,142.251.12.95
www.google.com,142.251.150.119
www.google.com,142.251.151.119
www.google.com,142.251.152.119
www.google.com,142.251.153.119
www.google.com,142.251.154.119
www.google.com,142.251.155.119
www.google.com,142.251.156.119
www.google.com,142.251.157.119
apis.google.com,142.251.170.100
apis.google.com,142.251.170.101
apis.google.com,142.251.170.102
apis.google.com,142.251.170.113
apis.google.com,142.251.170.138
apis.google.com,142.251.170.139
stats.g.doubleclick.net,142.251.170.156
stats.g.doubleclick.net,142.251.170.157
content.googleapis.com,142.251.170.95
www.googletagmanager.com,142.251.170.97
accounts.google.com,142.251.8.84
content.googleapis.com,142.251.8.95
zybeak.com,145.223.124.60
securevalley-training.net,147.93.88.230
usage.trackjs.com,148.113.163.172
usage.trackjs.com,148.113.163.217
launchdarkly.com,15.197.167.90
match.adsrvr.org,15.197.193.217
clientstream.launchdarkly.com,15.197.213.252
capture.trackjs.com,15.235.42.36
capture.trackjs.com,15.235.54.6
capture.trackjs.com,15.235.54.7
api.onedrive.com,150.171.22.11
config.edge.skype.com,150.171.22.17
bat.bing.com,150.171.28.10
edge-http.microsoft.com,150.171.73.11
admin.microsoft.com,150.171.73.13
marketplace.visualstudio.com,150.171.73.16
edge-http.microsoft.com,150.171.74.11
admin.microsoft.com,150.171.74.13
marketplace.visualstudio.com,150.171.74.16
f.vimeocdn.com,151.101.0.217
pypi.org,151.101.0.223
app.launchdarkly.com,151.101.1.55
cdn.growthbook.io,151.101.1.91
f.vimeocdn.com,151.101.128.217
pypi.org,151.101.128.223
app.launchdarkly.com,151.101.129.55
cdn.growthbook.io,151.101.129.91
code.jquery.com,151.101.130.137
www.umgc.edu,151.101.131.10
f.vimeocdn.com,151.101.192.217
pypi.org,151.101.192.223
app.launchdarkly.com,151.101.193.55
cdn.growthbook.io,151.101.193.91
code.jquery.com,151.101.194.137
www.umgc.edu,151.101.195.10
code.jquery.com,151.101.2.137
www.umgc.edu,151.101.3.10
f.vimeocdn.com,151.101.64.217
pypi.org,151.101.64.223
app.launchdarkly.com,151.101.65.55
cdn.growthbook.io,151.101.65.91
code.jquery.com,151.101.66.137
www.umgc.edu,151.101.67.10
lf9-sec.bytetos.com,156.225.111.13
lf9-sec.bytetos.com,156.225.111.14
connect.facebook.net,157.240.15.13
a-api.anthropic.com,160.79.104.10
images-ext-1.discordapp.net,162.159.128.232
discord.com,162.159.128.233
player.vimeo.com,162.159.128.61
images-ext-1.discordapp.net,162.159.129.232
cdn.discordapp.com,162.159.129.233
images-ext-1.discordapp.net,162.159.130.232
cdn.discordapp.com,162.159.130.233
gateway-us-east1-c.discord.gg,162.159.130.234
images-ext-1.discordapp.net,162.159.133.232
cdn.discordapp.com,162.159.133.233
gateway-us-east1-c.discord.gg,162.159.133.234
images-ext-1.discordapp.net,162.159.134.232
cdn.discordapp.com,162.159.134.233
gateway-us-east1-c.discord.gg,162.159.134.234
discord.com,162.159.135.232
cdn.discordapp.com,162.159.135.233
gateway-us-east1-c.discord.gg,162.159.135.234
discord.com,162.159.136.232
gateway-us-east1-c.discord.gg,162.159.136.234
discord.com,162.159.137.232
discord.com,162.159.138.232
player.vimeo.com,162.159.138.60
analytics.twitter.com,162.159.140.229
crl3.digicert.com,162.159.142.9
chrome.cloudflare-dns.com,162.159.61.3
bam.nr-data.net,162.247.241.14
bam.nr-data.net,162.247.243.29
js-agent.newrelic.com,162.247.243.39
directory.cookieyes.com,166.117.105.37
directory.cookieyes.com,166.117.194.248
eastvalleyventures.com,167.114.15.225
wsr.pearsonvue.com,172.169.83.243
rr4---sn-hgn7rn7r.googlevideo.com,172.217.130.233
lh3.google.com,172.217.194.100
lh3.google.com,172.217.194.101
lh3.google.com,172.217.194.102
www.google.com,172.217.194.103
www.google.com,172.217.194.104
www.google.com,172.217.194.105
www.google.com,172.217.194.106
lh3.google.com,172.217.194.113
i.ytimg.com,172.217.194.119
lh3.googleusercontent.com,172.217.194.132
lh3.google.com,172.217.194.138
lh3.google.com,172.217.194.139
www.google.com,172.217.194.147
static.doubleclick.net,172.217.194.148
static.doubleclick.net,172.217.194.149
ssl.gstatic.com,172.217.194.94
content.googleapis.com,172.217.194.95
ssl.google-analytics.com,172.217.194.97
www.google.com,172.217.194.99
www.google.com,172.217.70.103
www.google.com,172.217.70.104
www.google.com,172.217.70.105
www.google.com,172.217.70.106
www.google.com,172.217.70.147
jnn-pa.googleapis.com,172.217.70.95
www.google.com,172.217.70.99
ogs.google.com,172.253.118.100
ogs.google.com,172.253.118.101
ogs.google.com,172.253.118.102
ogs.google.com,172.253.118.113
i.ytimg.com,172.253.118.119
ogs.google.com,172.253.118.138
ogs.google.com,172.253.118.139
mail.google.com,172.253.118.17
mail.google.com,172.253.118.18
mail.google.com,172.253.118.19
mail.google.com,172.253.118.83
accounts.google.com,172.253.118.84
www.gstatic.com,172.253.118.94
content.googleapis.com,172.253.118.95
content.googleapis.com,172.253.134.95
2629051.fs1.hubspotusercontent-na1.net,172.64.146.132
auth.openai.com,172.64.146.15
js.hs-banner.com,172.64.147.16
ka-p.fontawesome.com,172.64.147.188
to.getnitropack.com,172.64.148.10
ws.chatgpt.com,172.64.148.235
s.usea01.idio.episerver.net,172.64.149.154
comptiasso-b2c-prod.login.comptia.org,172.64.149.174
cdn.testout.com,172.64.150.178
js.zi-scripts.com,172.64.150.44
api.platform.comptia.org,172.64.150.55
link.comptia.org,172.64.152.227
nitroscripts.com,172.64.154.248
geolocation.onetrust.com,172.64.155.119
ab.chatgpt.com,172.64.155.209
chrome.cloudflare-dns.com,172.64.41.3
analytics.twitter.com,172.66.0.227
log.cookieyes.com,172.66.163.68
tryhackme.com,172.66.164.239
us-assets.i.posthog.com,172.66.166.164
crl3.digicert.com,172.66.2.5
tw.softorbits.net,172.67.157.116
api.unisvg.com,172.67.163.187
freeipapi.com,172.67.168.79
placehold.co,172.67.169.175
capig.stape.ma,172.67.184.14
api.simplesvg.com,172.67.185.51
cdn.tailwindcss.com,172.67.68.11
img.favpng.com,172.67.68.120
ipapi.co,172.67.69.226
code.gist.build,172.67.69.25
www.abuseipdb.com,172.67.70.74
js.convertflow.co,172.67.71.112
brandfetch.com,172.67.71.146
api.iconify.design,172.67.71.159
api.ipify.org,172.67.74.152
www.it-training.pro,172.67.74.45
www.wireshark.org,172.67.75.39
drive.google.com,173.194.174.100
drive.google.com,173.194.174.101
drive.google.com,173.194.174.102
drive.google.com,173.194.174.113
drive.google.com,173.194.174.138
drive.google.com,173.194.174.139
stats.g.doubleclick.net,173.194.174.155
stats.g.doubleclick.net,173.194.174.157
accounts.google.com,173.194.174.84
fonts.gstatic.com,173.194.174.94
assets.msn.cn,175.97.131.54
s175.convertio.me,178.63.117.199
widget-mediator.zopim.com,18.178.155.200
stats.credly.com,18.188.42.131
events.launchdarkly.com,18.213.209.109
ecwportal.vertexsmb.com,18.235.254.254
p-pc-weboff.byteimg.com,180.163.148.198
lf3-effectcdn-tos.byteeffecttos.com,183.93.116.29
www.cisco.com,184.25.120.116
windows.msn.cn,184.29.40.35
assets2.msn.com,184.87.193.70
ntp.msn.com,184.87.193.72
assets2.msn.com,184.87.193.88
ntp.msn.com,184.87.193.93
avatars.githubusercontent.com,185.199.108.133
cyberpeacemaker.github.io,185.199.108.153
github.githubassets.com,185.199.108.154
avatars.githubusercontent.com,185.199.109.133
cyberpeacemaker.github.io,185.199.109.153
github.githubassets.com,185.199.109.154
avatars.githubusercontent.com,185.199.110.133
cyberpeacemaker.github.io,185.199.110.153
github.githubassets.com,185.199.110.154
avatars.githubusercontent.com,185.199.111.133
cyberpeacemaker.github.io,185.199.111.153
github.githubassets.com,185.199.111.154
avatar.iran.liara.run,185.208.182.248
avatar.iran.liara.run,185.208.182.249
avatar.iran.liara.run,185.208.182.250
www.adoodca.com,188.215.245.124
secure.gravatar.com,192.0.73.2
i0.wp.com,192.0.77.2
p3-pc-sign.douyinpic.com,192.169.122.148
p3-pc-sign.douyinpic.com,192.169.122.169
p3-pc-sign.douyinpic.com,192.169.122.171
p3-pc-sign.douyinpic.com,192.169.122.172
p3-pc-sign.douyinpic.com,192.169.122.173
p3-pc-sign.douyinpic.com,192.169.122.174
p3-pc-sign.douyinpic.com,192.169.122.175
p3-pc-sign.douyinpic.com,192.169.122.176
www.edc.de,193.53.251.254
www.advancia-training.com,196.203.16.232
ctldl.windowsupdate.com,199.232.210.172
info.credly.com,199.60.103.226
info.credly.com,199.60.103.30
storage.live.com,20.135.4.166
storage.live.com,20.135.4.169
storage.live.com,20.135.6.9
tas02.sls.update.microsoft.com,20.165.94.63
mobile.events.data.microsoft.com,20.189.173.17
mobile.events.data.microsoft.com,20.189.173.25
browser.events.data.microsoft.com,20.189.173.26
browser.pipe.aria.microsoft.com,20.189.173.5
mobile.events.data.microsoft.com,20.189.173.7
login.live.com,20.190.141.32
login.live.com,20.190.141.33
login.live.com,20.190.141.34
login.live.com,20.190.141.35
login.live.com,20.190.141.36
login.live.com,20.190.141.37
login.live.com,20.190.141.38
login.live.com,20.190.141.39
graph.microsoft.com,20.190.141.43
graph.microsoft.com,20.190.141.45
graph.microsoft.com,20.190.141.46
login.live.com,20.190.144.136
login.live.com,20.190.144.137
login.live.com,20.190.144.138
login.live.com,20.190.144.139
login.live.com,20.190.144.160
login.live.com,20.190.144.161
login.live.com,20.190.144.162
login.live.com,20.190.144.163
login.microsoft.com,20.190.144.164
login.microsoftonline.com,20.190.144.165
login.live.com,20.190.144.166
graph.microsoft.com,20.190.144.169
graph.microsoft.com,20.190.144.170
graph.microsoft.com,20.190.144.171
graph.microsoft.com,20.190.144.172
login.live.com,20.190.148.162
login.live.com,20.190.148.163
login.live.com,20.190.148.164
login.live.com,20.190.148.165
login.live.com,20.190.148.166
login.live.com,20.190.148.167
login.live.com,20.190.163.18
login.live.com,20.190.163.19
login.live.com,20.190.163.20
login.live.com,20.190.163.21
graph.microsoft.com,20.190.163.28
graph.microsoft.com,20.190.163.29
graph.microsoft.com,20.190.163.96
login.live.com,20.190.166.131
login.live.com,20.190.166.132
login.live.com,20.190.166.133
graph.microsoft.com,20.190.166.162
graph.microsoft.com,20.190.166.32
login.live.com,20.190.166.66
login.live.com,20.190.166.67
login.live.com,20.190.166.68
nav-edge.smartscreen.microsoft.com,20.194.184.156
nav-edge.smartscreen.microsoft.com,20.198.167.116
testoutlivecontent.blob.core.windows.net,20.209.226.33
nav-edge.smartscreen.microsoft.com,20.210.166.59
consent.config.office.com,20.210.25.249
go.trouter.skype.com,20.249.168.121
github.com,20.27.177.113
api.github.com,20.27.177.116
uploads.github.com,20.27.177.119
mobile.events.data.microsoft.com,20.42.65.84
mobile.events.data.microsoft.com,20.42.72.131
browser.events.data.microsoft.com,20.42.73.27
browser.events.data.microsoft.com,20.44.10.122
mobile.events.data.microsoft.com,20.50.201.195
fpt.live.com,20.51.15.234
e.clarity.ms,20.57.85.160
login.104.com.tw,202.8.14.142
static.104.com.tw,202.8.14.29
www.bing.com,203.69.138.103
www.bing.com,203.69.138.104
www.bing.com,203.69.138.105
www.bing.com,203.69.138.114
th.bing.com,203.69.138.136
www.bing.com,203.69.138.2
res-1.cdn.office.net,203.69.138.209
res-1.cdn.office.net,203.69.138.216
msedge.b.tlu.dl.delivery.mp.microsoft.com,203.69.138.222
assets.msn.com,203.69.138.224
ntp.msn.com,203.69.138.225
ntp.msn.com,203.69.138.231
ctldl.windowsupdate.com,203.69.138.233
aadcdn.msftauth.net,203.69.138.24
www.bing.com,203.69.138.3
developers.redhat.com,203.69.138.33
aadcdn.msftauth.net,203.69.138.35
r.bing.com,203.69.138.46
r.bing.com,203.69.138.50
r.bing.com,203.69.138.51
www.bing.com,203.69.138.53
www.bing.com,203.69.138.56
www.bing.com,203.69.138.57
r.bing.com,203.69.138.60
www.bing.com,203.69.138.61
developers.redhat.com,203.69.138.9
www.bing.com,203.69.138.91
www.bing.com,203.69.138.96
www.bing.com,203.69.138.98
r.bing.com,203.69.138.99
use.typekit.net,203.69.141.40
use.typekit.net,203.69.141.74
ntp.msn.com,203.69.81.48
ntp.msn.com,203.69.81.51
assets.msn.com,203.69.81.56
www.msftconnecttest.com,203.69.81.58
nextlevelcertifications.com,208.77.145.171
rr4---sn-q4flrn7r.googlevideo.com,209.85.165.105
rr1---sn-q4flrnee.googlevideo.com,209.85.165.198
windows.msn.com,210.71.227.107
caissuers.microsoft.com,210.71.227.170
caissuers.microsoft.com,210.71.227.179
r.bing.com,210.71.227.201
apps-id.cisco.com,210.71.227.203
www.bing.com,210.71.227.208
r.bing.com,210.71.227.211
r.bing.com,210.71.227.216
www.bing.com,210.71.227.217
apps-id.cisco.com,210.71.227.218
comptia.zendesk.com,216.198.53.11
ekr.zdassets.com,216.198.53.3
comptia.zendesk.com,216.198.54.11
ekr.zdassets.com,216.198.54.3
www.google-analytics.com,216.239.32.178
analytics.google.com,216.239.32.181
ct.canva.com,216.239.32.21
www.google-analytics.com,216.239.34.178
analytics.google.com,216.239.34.181
ct.canva.com,216.239.34.21
www.google-analytics.com,216.239.36.178
analytics.google.com,216.239.36.181
ct.canva.com,216.239.36.21
www.google-analytics.com,216.239.38.178
analytics.google.com,216.239.38.181
ct.canva.com,216.239.38.21
lf3-effectcdn-tos.byteeffecttos.com,220.194.72.88
p-pc-weboff.byteimg.com,222.73.33.15
consent.config.office.com,23.100.110.221
loki.delve.office.com,23.103.244.128
loki.delve.office.com,23.103.244.129
loki.delve.office.com,23.103.244.130
loki.delve.office.com,23.103.244.131
loki.delve.office.com,23.103.244.32
loki.delve.office.com,23.103.244.33
loki.delve.office.com,23.103.244.34
loki.delve.office.com,23.103.244.35
upos-hz-mirrorakam.akamaized.net,23.200.143.10
upos-hz-mirrorakam.akamaized.net,23.200.143.8
res.public.onecdn.static.microsoft,23.209.46.71
res-1.cdn.office.net,23.209.46.74
res-1.cdn.office.net,23.209.46.76
res.public.onecdn.static.microsoft,23.209.46.81
res-1.cdn.office.net,23.209.46.91
res.public.onecdn.static.microsoft,23.209.46.92
res-1.cdn.office.net,23.209.46.94
res-1.cdn.office.net,23.209.46.95
crl3.digicert.com,23.210.96.161
logincdn.msftauth.net,23.213.43.202
logincdn.msftauth.net,23.213.43.223
th.bing.com,23.215.7.12
th.bing.com,23.215.7.14
th.bing.com,23.215.7.17
www.bing.com,23.215.7.18
www.bing.com,23.215.7.19
www.bing.com,23.215.7.20
th.bing.com,23.215.7.21
www.bing.com,23.215.7.23
www.bing.com,23.215.7.24
th.bing.com,23.215.7.28
www.bing.com,23.215.7.29
www.bing.com,23.215.7.4
th.bing.com,23.215.7.7
th.bing.com,23.215.7.8
www.bing.com,23.215.7.9
learn.microsoft.com,23.220.197.232
ec-council-international.myshopify.com,23.227.38.74
s.go-mpulse.net,23.39.60.172
learn.microsoft.com,23.39.61.228
learn.microsoft.com,23.46.90.97
fs.microsoft.com,23.50.82.202
www.msftconnecttest.com,23.53.118.114
img-s-msn-com.akamaized.net,23.53.118.74
img-s-msn-com.akamaized.net,23.53.118.78
img-s-msn-com.akamaized.net,23.53.118.80
img-s-msn-com.akamaized.net,23.53.118.81
www.msftconnecttest.com,23.53.118.82
ctldl.windowsupdate.com,23.61.202.49
ctldl.windowsupdate.com,23.61.202.51
cdn.104.com.tw,3.165.102.10
cdn.104.com.tw,3.165.102.106
cdn.104.com.tw,3.165.102.109
cdn.104.com.tw,3.165.102.58
d1igp3oop3iho5.cloudfront.net,3.169.117.220
d1igp3oop3iho5.cloudfront.net,3.169.117.231
d1igp3oop3iho5.cloudfront.net,3.169.117.67
